ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount
354,20210104,20210116,20210111,12346,SO46737,2071.4196
362,20210104,20210116,20210111,12576,SO46738,2049.0982
373,20210105,20210117,20210112,15699,SO46739,2181.5625
379,20210105,20210117,20210112,12980,SO46740,2181.5625
370,20210105,20210117,20210112,28766,SO46741,2443.35
358,20210105,20210117,20210112,20206,SO46742,2049.0982
373,20210105,20210117,20210112,21183,SO46743,2181.5625
370,20210105,20210117,20210112,21199,SO46744,2443.35
369,20210106,20210118,20210113,13056,SO46745,2443.35
368,20210106,20210118,20210113,13057,SO46746,2443.35
360,20210106,20210118,20210113,26127,SO46747,2049.0982
360,20210106,20210118,20210113,26252,SO46748,2049.0982
354,20210106,20210118,20210113,12350,SO46749,2071.4196
377,20210107,20210119,20210114,16054,SO46750,2181.5625
377,20210107,20210119,20210114,12934,SO46751,2181.5625
343,20210107,20210119,20210114,19931,SO46752,782.99
379,20210107,20210119,20210114,21215,SO46753,2181.5625
321,20210107,20210119,20210114,25958,SO46754,782.99
343,20210107,20210119,20210114,26023,SO46755,782.99
383,20210107,20210119,20210114,13993,SO46756,1000.4375
354,20210108,20210120,20210115,26174,SO46757,2071.4196
387,20210108,20210120,20210115,18130,SO46758,1000.4375
373,20210108,20210120,20210115,16033,SO46759,2181.5625
387,20210108,20210120,20210115,13986,SO46760,1000.4375
325,20210108,20210120,20210115,19924,SO46761,782.99
368,20210108,20210120,20210115,13063,SO46762,2443.35
375,20210108,20210120,20210115,13202,SO46763,2181.5625
360,20210108,20210120,20210115,26238,SO46764,2049.0982
333,20210108,20210120,20210115,15191,SO46765,782.99
369,20210108,20210120,20210115,21216,SO46766,2443.35
362,20210108,20210120,20210115,12573,SO46767,2049.0982
339,20210108,20210120,20210115,26020,SO46768,782.99
377,20210109,20210121,20210116,15702,SO46769,2181.5625
370,20210109,20210121,20210116,15357,SO46770,2443.35
377,20210109,20210121,20210116,13068,SO46771,2181.5625
375,20210109,20210121,20210116,13161,SO46772,2181.5625
371,20210109,20210121,20210116,13173,SO46773,2181.5625
375,20210109,20210121,20210116,13225,SO46774,2181.5625
352,20210109,20210121,20210116,26249,SO46775,2071.4196
360,20210109,20210121,20210116,12356,SO46776,2049.0982
356,20210110,20210122,20210117,11568,SO46777,2071.4196
352,20210110,20210122,20210117,11610,SO46778,2071.4196
377,20210110,20210122,20210117,15929,SO46779,2181.5625
379,20210110,20210122,20210117,12942,SO46780,2181.5625
379,20210110,20210122,20210117,12949,SO46781,2181.5625
371,20210110,20210122,20210117,12975,SO46782,2181.5625
337,20210110,20210122,20210117,19069,SO46783,782.99
375,20210110,20210122,20210117,13178,SO46784,2181.5625
373,20210110,20210122,20210117,13190,SO46785,2181.5625
354,20210110,20210122,20210117,26201,SO46786,2071.4196
333,20210110,20210122,20210117,15195,SO46787,782.99
358,20210110,20210122,20210117,12342,SO46788,2049.0982
358,20210111,20210123,20210118,28506,SO46789,2049.0982
379,20210111,20210123,20210118,12930,SO46790,2181.5625
369,20210111,20210123,20210118,13016,SO46791,2443.35
373,20210111,20210123,20210118,13083,SO46792,2181.5625
375,20210111,20210123,20210118,13214,SO46793,2181.5625
373,20210111,20210123,20210118,24977,SO46794,2181.5625
362,20210111,20210123,20210118,26234,SO46795,2049.0982
360,20210111,20210123,20210118,26247,SO46796,2049.0982
371,20210111,20210123,20210118,21197,SO46797,2181.5625
368,20210111,20210123,20210118,21201,SO46798,2443.35
371,20210112,20210124,20210119,13662,SO46799,2181.5625
370,20210112,20210124,20210119,13019,SO46800,2443.35
368,20210112,20210124,20210119,25094,SO46801,2443.35
337,20210112,20210124,20210119,15188,SO46802,782.99
379,20210113,20210125,20210120,13595,SO46803,2181.5625
323,20210113,20210125,20210120,19052,SO46804,782.99
373,20210113,20210125,20210120,13055,SO46805,2181.5625
370,20210113,20210125,20210120,21195,SO46806,2443.35
354,20210113,20210125,20210120,12339,SO46807,2071.4196
360,20210113,20210125,20210120,12347,SO46808,2049.0982
371,20210114,20210126,20210121,13766,SO46809,2181.5625
370,20210114,20210126,20210121,15622,SO46810,2443.35
369,20210114,20210126,20210121,12941,SO46811,2443.35
371,20210114,20210126,20210121,13069,SO46812,2181.5625
379,20210114,20210126,20210121,13152,SO46813,2181.5625
371,20210114,20210126,20210121,13165,SO46814,2181.5625
375,20210114,20210126,20210121,25093,SO46815,2181.5625
370,20210114,20210126,20210121,13230,SO46816,2443.35
356,20210114,20210126,20210121,26121,SO46817,2071.4196
369,20210114,20210126,20210121,21211,SO46818,2443.35
368,20210114,20210126,20210121,21001,SO46819,2443.35
352,20210115,20210127,20210122,28510,SO46820,2071.4196
377,20210115,20210127,20210122,24824,SO46821,2181.5625
325,20210115,20210127,20210122,15155,SO46822,782.99
323,20210115,20210127,20210122,15193,SO46823,782.99
385,20210115,20210127,20210122,24608,SO46824,1000.4375
354,20210115,20210127,20210122,12574,SO46825,2071.4196
360,20210115,20210127,20210122,12575,SO46826,2049.0982
373,20210116,20210128,20210123,13799,SO46827,2181.5625
385,20210116,20210128,20210123,13990,SO46828,1000.4375
369,20210116,20210128,20210123,24786,SO46829,2443.35
337,20210116,20210128,20210123,19910,SO46830,782.99
369,20210116,20210128,20210123,13066,SO46831,2443.35
352,20210116,20210128,20210123,20188,SO46832,2071.4196
354,20210116,20210128,20210123,12360,SO46833,2071.4196
379,20210116,20210128,20210123,12923,SO46834,2181.5625
371,20210117,20210129,20210124,13768,SO46835,2181.5625
377,20210117,20210129,20210124,13769,SO46836,2181.5625
381,20210117,20210129,20210124,14003,SO46837,1000.4375
375,20210117,20210129,20210124,12922,SO46838,2181.5625
375,20210117,20210129,20210124,24817,SO46839,2181.5625
369,20210117,20210129,20210124,13058,SO46840,2443.35
371,20210117,20210129,20210124,13174,SO46841,2181.5625
321,20210117,20210129,20210124,15166,SO46842,782.99
375,20210117,20210129,20210124,21168,SO46843,2181.5625
358,20210117,20210129,20210124,12343,SO46844,2049.0982
358,20210118,20210130,20210125,11603,SO46845,2049.0982
373,20210118,20210130,20210125,13575,SO46846,2181.5625
371,20210118,20210130,20210125,13793,SO46847,2181.5625
371,20210118,20210130,20210125,16201,SO46848,2181.5625
370,20210118,20210130,20210125,24960,SO46849,2443.35
370,20210118,20210130,20210125,13221,SO46850,2443.35
360,20210118,20210130,20210125,20209,SO46851,2049.0982
333,20210118,20210130,20210125,15194,SO46852,782.99
368,20210118,20210130,20210125,21192,SO46853,2443.35
375,20210118,20210130,20210125,20997,SO46854,2181.5625
379,20210119,20210131,20210126,15117,SO46855,2181.5625
370,20210119,20210131,20210126,12935,SO46856,2443.35
371,20210119,20210131,20210126,13064,SO46857,2181.5625
370,20210119,20210131,20210126,13067,SO46858,2443.35
370,20210119,20210131,20210126,13205,SO46859,2443.35
371,20210119,20210131,20210126,21180,SO46860,2181.5625
377,20210119,20210131,20210126,21214,SO46861,2181.5625
362,20210120,20210201,20210127,11550,SO46862,2049.0982
362,20210120,20210201,20210127,11575,SO46863,2049.0982
373,20210120,20210201,20210127,16045,SO46864,2181.5625
375,20210120,20210201,20210127,15456,SO46865,2181.5625
369,20210120,20210201,20210127,12981,SO46866,2443.35
377,20210120,20210201,20210127,13029,SO46867,2181.5625
369,20210120,20210201,20210127,13189,SO46868,2443.35
379,20210121,20210202,20210128,13577,SO46869,2181.5625
368,20210121,20210202,20210128,13605,SO46870,2443.35
370,20210121,20210202,20210128,13800,SO46871,2443.35
385,20210121,20210202,20210128,19186,SO46872,1000.4375
377,20210121,20210202,20210128,21167,SO46873,2181.5625
381,20210121,20210202,20210128,24606,SO46874,1000.4375
362,20210122,20210203,20210129,11470,SO46875,2049.0982
375,20210122,20210203,20210129,15084,SO46876,2181.5625
370,20210122,20210203,20210129,12926,SO46877,2443.35
369,20210122,20210203,20210129,25061,SO46878,2443.35
379,20210122,20210203,20210129,13224,SO46879,2181.5625
335,20210122,20210203,20210129,15167,SO46880,782.99
354,20210122,20210203,20210129,12572,SO46881,2071.4196
343,20210122,20210203,20210129,25960,SO46882,782.99
352,20210122,20210203,20210129,26241,SO46883,2071.4196
368,20210123,20210204,20210130,13565,SO46884,2443.35
373,20210123,20210204,20210130,15933,SO46885,2181.5625
377,20210123,20210204,20210130,28669,SO46886,2181.5625
362,20210123,20210204,20210130,12340,SO46887,2049.0982
325,20210123,20210204,20210130,26021,SO46888,782.99
383,20210124,20210205,20210131,19173,SO46889,1000.4375
368,20210124,20210205,20210131,12921,SO46890,2443.35
325,20210124,20210205,20210131,20592,SO46891,782.99
370,20210124,20210205,20210131,13086,SO46892,2443.35
369,20210124,20210205,20210131,28659,SO46893,2443.35
356,20210124,20210205,20210131,26120,SO46894,2071.4196
354,20210124,20210205,20210131,26183,SO46895,2071.4196
333,20210124,20210205,20210131,15189,SO46896,782.99
368,20210124,20210205,20210131,21179,SO46897,2443.35
369,20210124,20210205,20210131,21205,SO46898,2443.35
381,20210125,20210206,20210201,13999,SO46899,1000.4375
375,20210125,20210206,20210201,21194,SO46900,2181.5625
375,20210125,20210206,20210201,21203,SO46901,2181.5625
375,20210125,20210206,20210201,21000,SO46902,2181.5625
354,20210125,20210206,20210201,12353,SO46903,2071.4196
387,20210126,20210207,20210202,17080,SO46904,1000.4375
375,20210126,20210207,20210202,16053,SO46905,2181.5625
368,20210126,20210207,20210202,12950,SO46906,2443.35
368,20210126,20210207,20210202,13087,SO46907,2443.35
370,20210126,20210207,20210202,21189,SO46908,2443.35
379,20210126,20210207,20210202,20998,SO46909,2181.5625
331,20210127,20210208,20210203,20710,SO46910,782.99
377,20210127,20210208,20210203,24832,SO46911,2181.5625
377,20210127,20210208,20210203,13177,SO46912,2181.5625
375,20210127,20210208,20210203,13212,SO46913,2181.5625
356,20210127,20210208,20210203,26245,SO46914,2071.4196
362,20210127,20210208,20210203,26276,SO46915,2049.0982
329,20210127,20210208,20210203,15196,SO46916,782.99
371,20210127,20210208,20210203,21202,SO46917,2181.5625
343,20210127,20210208,20210203,26022,SO46918,782.99
362,20210127,20210208,20210203,11481,SO46919,2049.0982
362,20210128,20210209,20210204,11609,SO46920,2049.0982
371,20210128,20210209,20210204,15454,SO46921,2181.5625
368,20210128,20210209,20210204,13088,SO46922,2443.35
369,20210128,20210209,20210204,13176,SO46923,2443.35
375,20210128,20210209,20210204,13203,SO46924,2181.5625
373,20210128,20210209,20210204,21165,SO46925,2181.5625
377,20210128,20210209,20210204,21169,SO46926,2181.5625
362,20210128,20210209,20210204,12348,SO46927,2049.0982
356,20210128,20210209,20210204,12358,SO46928,2071.4196
370,20210129,20210210,20210205,13246,SO47068,2443.35
383,20210129,20210210,20210205,14017,SO47069,1000.4375
387,20210129,20210210,20210205,14025,SO47070,1000.4375
369,20210129,20210210,20210205,15667,SO47071,2443.35
341,20210129,20210210,20210205,20062,SO47072,782.99
369,20210129,20210210,20210205,25287,SO47073,2443.35
362,20210129,20210210,20210205,26293,SO47074,2049.0982
360,20210129,20210210,20210205,12685,SO47075,2049.0982
362,20210129,20210210,20210205,12588,SO47076,2049.0982
369,20210130,20210211,20210206,16329,SO47077,2443.35
375,20210130,20210211,20210206,13248,SO47078,2181.5625
375,20210130,20210211,20210206,13359,SO47079,2181.5625
360,20210130,20210211,20210206,26302,SO47080,2049.0982
341,20210130,20210211,20210206,15203,SO47081,782.99
323,20210130,20210211,20210206,15254,SO47082,782.99
329,20210130,20210211,20210206,15288,SO47083,782.99
370,20210130,20210211,20210206,21561,SO47084,2443.35
379,20210131,20210212,20210207,16311,SO47085,2181.5625
373,20210131,20210212,20210207,13378,SO47086,2181.5625
377,20210131,20210212,20210207,13383,SO47087,2181.5625
369,20210131,20210212,20210207,13274,SO47088,2443.35
341,20210131,20210212,20210207,15284,SO47089,782.99
377,20210131,20210212,20210207,21394,SO47090,2181.5625
354,20210201,20210213,20210208,28532,SO47091,2071.4196
369,20210201,20210213,20210208,28802,SO47092,2443.35
369,20210201,20210213,20210208,13380,SO47093,2443.35
377,20210201,20210213,20210208,15664,SO47094,2181.5625
370,20210201,20210213,20210208,25095,SO47095,2443.35
354,20210201,20210213,20210208,26283,SO47096,2071.4196
370,20210201,20210213,20210208,21257,SO47097,2443.35
360,20210201,20210213,20210208,12667,SO47098,2049.0982
325,20210201,20210213,20210208,26134,SO47099,782.99
360,20210202,20210214,20210209,11612,SO47100,2049.0982
371,20210202,20210214,20210209,16260,SO47101,2181.5625
370,20210202,20210214,20210209,13424,SO47102,2443.35
368,20210202,20210214,20210209,13369,SO47103,2443.35
379,20210202,20210214,20210209,13279,SO47104,2181.5625
371,20210202,20210214,20210209,13319,SO47105,2181.5625
369,20210202,20210214,20210209,25361,SO47106,2443.35
352,20210203,20210215,20210210,11616,SO47107,2071.4196
369,20210203,20210215,20210210,13839,SO47108,2443.35
375,20210203,20210215,20210210,28819,SO47109,2181.5625
370,20210203,20210215,20210210,28850,SO47110,2443.35
369,20210203,20210215,20210210,25100,SO47111,2443.35
356,20210203,20210215,20210210,20318,SO47112,2071.4196
343,20210203,20210215,20210210,15255,SO47113,782.99
373,20210203,20210215,20210210,21387,SO47114,2181.5625
370,20210203,20210215,20210210,21393,SO47115,2443.35
387,20210203,20210215,20210210,24611,SO47116,1000.4375
354,20210203,20210215,20210210,12586,SO47117,2071.4196
362,20210203,20210215,20210210,28541,SO47118,2049.0982
368,20210204,20210216,20210211,16275,SO47119,2443.35
381,20210204,20210216,20210211,14006,SO47120,1000.4375
375,20210204,20210216,20210211,28832,SO47121,2181.5625
371,20210204,20210216,20210211,13362,SO47122,2181.5625
371,20210204,20210216,20210211,25408,SO47123,2181.5625
371,20210204,20210216,20210211,13384,SO47124,2181.5625
375,20210204,20210216,20210211,13325,SO47125,2181.5625
371,20210204,20210216,20210211,13326,SO47126,2181.5625
371,20210204,20210216,20210211,21258,SO47127,2181.5625
368,20210204,20210216,20210211,21556,SO47128,2443.35
352,20210204,20210216,20210211,12677,SO47129,2071.4196
375,20210205,20210217,20210212,16406,SO47130,2181.5625
371,20210205,20210217,20210212,13243,SO47131,2181.5625
375,20210205,20210217,20210212,13283,SO47132,2181.5625
379,20210205,20210217,20210212,13357,SO47133,2181.5625
354,20210205,20210217,20210212,26296,SO47134,2071.4196
343,20210205,20210217,20210212,27027,SO47135,782.99
379,20210205,20210217,20210212,21389,SO47136,2181.5625
371,20210205,20210217,20210212,13348,SO47137,2181.5625
379,20210206,20210218,20210213,16308,SO47138,2181.5625
375,20210206,20210218,20210213,13238,SO47139,2181.5625
356,20210206,20210218,20210213,26290,SO47140,2071.4196
371,20210206,20210218,20210213,21225,SO47141,2181.5625
369,20210206,20210218,20210213,21230,SO47142,2443.35
362,20210206,20210218,20210213,12684,SO47143,2049.0982
343,20210206,20210218,20210213,26033,SO47144,782.99
339,20210206,20210218,20210213,26131,SO47145,782.99
389,20210207,20210219,20210214,18133,SO47146,1000.4375
375,20210207,20210219,20210214,13324,SO47147,2181.5625
377,20210207,20210219,20210214,21259,SO47148,2181.5625
360,20210207,20210219,20210214,12669,SO47149,2049.0982
370,20210208,20210220,20210215,15625,SO47150,2443.35
370,20210208,20210220,20210215,25363,SO47151,2443.35
360,20210208,20210220,20210215,28547,SO47152,2049.0982
321,20210208,20210220,20210215,26024,SO47153,782.99
335,20210208,20210220,20210215,26133,SO47154,782.99
370,20210209,20210221,20210216,13801,SO47155,2443.35
373,20210209,20210221,20210216,28837,SO47156,2181.5625
369,20210209,20210221,20210216,25864,SO47157,2443.35
360,20210209,20210221,20210216,26280,SO47158,2049.0982
362,20210209,20210221,20210216,26300,SO47159,2049.0982
369,20210209,20210221,20210216,21403,SO47160,2443.35
375,20210209,20210221,20210216,21408,SO47161,2181.5625
371,20210209,20210221,20210216,21418,SO47162,2181.5625
362,20210209,20210221,20210216,12671,SO47163,2049.0982
360,20210210,20210222,20210217,12123,SO47164,2049.0982
370,20210210,20210222,20210217,15649,SO47165,2443.35
368,20210210,20210222,20210217,15656,SO47166,2443.35
375,20210210,20210222,20210217,13419,SO47167,2181.5625
377,20210210,20210222,20210217,13286,SO47168,2181.5625
352,20210210,20210222,20210217,26281,SO47169,2071.4196
377,20210210,20210222,20210217,21228,SO47170,2181.5625
373,20210210,20210222,20210217,21552,SO47171,2181.5625
352,20210210,20210222,20210217,12668,SO47172,2071.4196
356,20210210,20210222,20210217,12675,SO47173,2071.4196
354,20210210,20210222,20210217,12584,SO47174,2071.4196
368,20210210,20210222,20210217,13812,SO47175,2443.35
358,20210211,20210223,20210218,11492,SO47176,2049.0982
381,20210211,20210223,20210218,14022,SO47177,1000.4375
383,20210211,20210223,20210218,14026,SO47178,1000.4375
377,20210211,20210223,20210218,28848,SO47179,2181.5625
370,20210211,20210223,20210218,13287,SO47180,2443.35
368,20210211,20210223,20210218,13329,SO47181,2443.35
354,20210211,20210223,20210218,26298,SO47182,2071.4196
335,20210211,20210223,20210218,15200,SO47183,782.99
379,20210211,20210223,20210218,21380,SO47184,2181.5625
356,20210211,20210223,20210218,12133,SO47185,2071.4196
371,20210212,20210224,20210219,13806,SO47186,2181.5625
385,20210212,20210224,20210219,18134,SO47187,1000.4375
389,20210212,20210224,20210219,19253,SO47188,1000.4375
373,20210212,20210224,20210219,28818,SO47189,2181.5625
369,20210212,20210224,20210219,25892,SO47190,2443.35
379,20210212,20210224,20210219,13382,SO47191,2181.5625
371,20210212,20210224,20210219,16328,SO47192,2181.5625
329,20210212,20210224,20210219,20162,SO47193,782.99
377,20210212,20210224,20210219,13269,SO47194,2181.5625
371,20210212,20210224,20210219,13355,SO47195,2181.5625
362,20210212,20210224,20210219,26286,SO47196,2049.0982
377,20210212,20210224,20210219,21218,SO47197,2181.5625
370,20210213,20210225,20210220,14169,SO47198,2443.35
323,20210213,20210225,20210220,20051,SO47199,782.99
373,20210213,20210225,20210220,13247,SO47200,2181.5625
356,20210213,20210225,20210220,26277,SO47201,2071.4196
356,20210213,20210225,20210220,26285,SO47202,2071.4196
370,20210214,20210226,20210221,25883,SO47203,2443.35
377,20210214,20210226,20210221,25371,SO47204,2181.5625
352,20210214,20210226,20210221,26301,SO47205,2071.4196
333,20210214,20210226,20210221,15256,SO47206,782.99
337,20210214,20210226,20210221,27043,SO47207,782.99
369,20210214,20210226,20210221,21359,SO47208,2443.35
370,20210214,20210226,20210221,21379,SO47209,2443.35
389,20210214,20210226,20210221,24609,SO47210,1000.4375
362,20210214,20210226,20210221,12578,SO47211,2049.0982
360,20210214,20210226,20210221,12580,SO47212,2049.0982
377,20210215,20210227,20210222,16287,SO47213,2181.5625
389,20210215,20210227,20210222,19195,SO47214,1000.4375
368,20210215,20210227,20210222,28836,SO47215,2443.35
360,20210215,20210227,20210222,26299,SO47216,2049.0982
375,20210215,20210227,20210222,21222,SO47217,2181.5625
369,20210215,20210227,20210222,21361,SO47218,2443.35
362,20210215,20210227,20210222,12577,SO47219,2049.0982
358,20210215,20210227,20210222,12579,SO47220,2049.0982
370,20210216,20210228,20210223,13823,SO47221,2443.35
381,20210216,20210228,20210223,26316,SO47222,1000.4375
370,20210216,20210228,20210223,25875,SO47223,2443.35
369,20210216,20210228,20210223,15659,SO47224,2443.35
375,20210216,20210228,20210223,13277,SO47225,2181.5625
368,20210216,20210228,20210223,13314,SO47226,2443.35
375,20210216,20210228,20210223,25288,SO47227,2181.5625
375,20210216,20210228,20210223,13237,SO47228,2181.5625
358,20210216,20210228,20210223,26295,SO47229,2049.0982
371,20210216,20210228,20210223,21256,SO47230,2181.5625
362,20210216,20210228,20210223,11564,SO47231,2049.0982
373,20210217,20210228,20210224,15627,SO47232,2181.5625
379,20210217,20210228,20210224,16250,SO47233,2181.5625
389,20210217,20210228,20210224,19260,SO47234,1000.4375
375,20210217,20210228,20210224,16317,SO47235,2181.5625
385,20210217,20210228,20210224,14023,SO47236,1000.4375
368,20210217,20210228,20210224,28834,SO47237,2443.35
370,20210217,20210228,20210224,16405,SO47238,2443.35
371,20210217,20210228,20210224,21384,SO47239,2181.5625
381,20210217,20210228,20210224,24612,SO47240,1000.4375
368,20210217,20210228,20210224,21559,SO47241,2443.35
362,20210217,20210228,20210224,28540,SO47242,2049.0982
339,20210217,20210228,20210224,20712,SO47243,782.99
385,20210218,20210301,20210225,19193,SO47244,1000.4375
375,20210218,20210301,20210225,16420,SO47245,2181.5625
343,20210218,20210301,20210225,20713,SO47246,782.99
371,20210218,20210301,20210225,13292,SO47247,2181.5625
375,20210218,20210301,20210225,13340,SO47248,2181.5625
377,20210218,20210301,20210225,13346,SO47249,2181.5625
379,20210218,20210301,20210225,21217,SO47250,2181.5625
377,20210218,20210301,20210225,21226,SO47251,2181.5625
352,20210218,20210301,20210225,12676,SO47252,2071.4196
356,20210218,20210301,20210225,12683,SO47253,2071.4196
333,20210219,20210302,20210226,15276,SO47254,782.99
358,20210219,20210302,20210226,11561,SO47255,2049.0982
373,20210219,20210302,20210226,16417,SO47256,2181.5625
368,20210219,20210302,20210226,14141,SO47257,2443.35
377,20210219,20210302,20210226,13298,SO47258,2181.5625
375,20210219,20210302,20210226,13351,SO47259,2181.5625
375,20210219,20210302,20210226,13233,SO47260,2181.5625
362,20210219,20210302,20210226,26305,SO47261,2049.0982
379,20210219,20210302,20210226,21560,SO47262,2181.5625
358,20210219,20210302,20210226,12589,SO47263,2049.0982
368,20210220,20210303,20210227,16410,SO47264,2443.35
375,20210220,20210303,20210227,13250,SO47265,2181.5625
377,20210220,20210303,20210227,21555,SO47266,2181.5625
352,20210220,20210303,20210227,12674,SO47267,2071.4196
375,20210220,20210303,20210227,21402,SO47268,2181.5625
362,20210221,20210304,20210228,28512,SO47269,2049.0982
360,20210221,20210304,20210228,28519,SO47270,2049.0982
381,20210221,20210304,20210228,18140,SO47271,1000.4375
371,20210221,20210304,20210228,29013,SO47272,2181.5625
368,20210221,20210304,20210228,13420,SO47273,2443.35
370,20210221,20210304,20210228,16407,SO47274,2443.35
339,20210221,20210304,20210228,19076,SO47275,782.99
343,20210221,20210304,20210228,15289,SO47276,782.99
371,20210221,20210304,20210228,21219,SO47277,2181.5625
379,20210221,20210304,20210228,21404,SO47278,2181.5625
362,20210221,20210304,20210228,12680,SO47279,2049.0982
352,20210222,20210305,20210228,11615,SO47280,2071.4196
389,20210222,20210305,20210228,17099,SO47281,1000.4375
381,20210222,20210305,20210228,19258,SO47282,1000.4375
373,20210222,20210305,20210228,15655,SO47283,2181.5625
368,20210222,20210305,20210228,13402,SO47284,2443.35
373,20210222,20210305,20210228,29135,SO47285,2181.5625
329,20210222,20210305,20210228,19944,SO47286,782.99
375,20210222,20210305,20210228,13280,SO47287,2181.5625
373,20210222,20210305,20210228,13353,SO47288,2181.5625
360,20210222,20210305,20210228,26297,SO47289,2049.0982
368,20210222,20210305,20210228,21558,SO47290,2443.35
371,20210223,20210306,20210301,16318,SO47291,2181.5625
379,20210223,20210306,20210301,13811,SO47292,2181.5625
385,20210223,20210306,20210301,19192,SO47293,1000.4375
383,20210223,20210306,20210301,18139,SO47294,1000.4375
387,20210223,20210306,20210301,14005,SO47295,1000.4375
385,20210223,20210306,20210301,14024,SO47296,1000.4375
377,20210223,20210306,20210301,13385,SO47297,2181.5625
371,20210223,20210306,20210301,13403,SO47298,2181.5625
369,20210223,20210306,20210301,13425,SO47299,2443.35
337,20210223,20210306,20210301,20717,SO47300,782.99
358,20210223,20210306,20210301,26292,SO47301,2049.0982
360,20210223,20210306,20210301,12670,SO47302,2049.0982
323,20210223,20210306,20210301,26029,SO47303,782.99
379,20210224,20210307,20210302,16272,SO47304,2181.5625
369,20210224,20210307,20210302,25393,SO47305,2443.35
369,20210224,20210307,20210302,28798,SO47306,2443.35
335,20210224,20210307,20210302,20711,SO47307,782.99
327,20210224,20210307,20210302,20718,SO47308,782.99
377,20210224,20210307,20210302,13316,SO47309,2181.5625
354,20210224,20210307,20210302,26303,SO47310,2071.4196
333,20210224,20210307,20210302,15252,SO47311,782.99
333,20210224,20210307,20210302,15280,SO47312,782.99
373,20210224,20210307,20210302,21231,SO47313,2181.5625
362,20210224,20210307,20210302,12673,SO47314,2049.0982
379,20210225,20210308,20210303,13840,SO47315,2181.5625
369,20210225,20210308,20210303,13361,SO47316,2443.35
379,20210225,20210308,20210303,14154,SO47317,2181.5625
375,20210225,20210308,20210303,13273,SO47318,2181.5625
370,20210225,20210308,20210303,13299,SO47319,2443.35
377,20210225,20210308,20210303,13315,SO47320,2181.5625
373,20210225,20210308,20210303,13354,SO47321,2181.5625
343,20210225,20210308,20210303,15287,SO47322,782.99
362,20210226,20210309,20210304,28529,SO47323,2049.0982
377,20210226,20210309,20210304,13400,SO47324,2181.5625
373,20210226,20210309,20210304,13278,SO47325,2181.5625
379,20210226,20210309,20210304,13288,SO47326,2181.5625
377,20210226,20210309,20210304,13304,SO47327,2181.5625
360,20210226,20210309,20210304,12681,SO47328,2049.0982
379,20210227,20210310,20210305,13367,SO47329,2181.5625
369,20210227,20210310,20210305,16324,SO47330,2443.35
333,20210227,20210310,20210305,20807,SO47331,782.99
356,20210227,20210310,20210305,20350,SO47332,2071.4196
368,20210227,20210310,20210305,21229,SO47333,2443.35
369,20210227,20210310,20210305,21557,SO47334,2443.35
356,20210227,20210310,20210305,12581,SO47335,2071.4196
339,20210227,20210310,20210305,26027,SO47336,782.99
354,20210228,20210311,20210306,28520,SO47337,2071.4196
373,20210228,20210311,20210306,16277,SO47338,2181.5625
371,20210228,20210311,20210306,15626,SO47339,2181.5625
369,20210228,20210311,20210306,13401,SO47340,2443.35
368,20210228,20210311,20210306,25104,SO47341,2443.35
360,20210228,20210311,20210306,26304,SO47342,2049.0982
